0.0	-0.04338
1.0	-0.04330
2.0	-0.04308
3.0	-0.04308
4.0	-0.04313
5.0	-0.04306
6.0	-0.04336
7.0	-0.04401
8.0	-0.04478
9.0	-0.04543
10.0	-0.04572
11.0	-0.04570
12.0	-0.04587
13.0	-0.04630
14.0	-0.04645
15.0	-0.04670
16.0	-0.04693
17.0	-0.04685
18.0	-0.04651
19.0	-0.04630
20.0	-0.04618
21.0	-0.04607
22.0	-0.04605
23.0	-0.04591
24.0	-0.04604
25.0	-0.04606
26.0	-0.04572
27.0	-0.04547
28.0	-0.04557
29.0	-0.04582
30.0	-0.04557
31.0	-0.04511
32.0	-0.04425
33.0	-0.04369
34.0	-0.04320
35.0	-0.04268
36.0	-0.04234
37.0	-0.04215
38.0	-0.04198
39.0	-0.04196
40.0	-0.04184
41.0	-0.04153
42.0	-0.04078
43.0	-0.04002
44.0	-0.03961
45.0	-0.03930
46.0	-0.03881
47.0	-0.03846
48.0	-0.03812
49.0	-0.03786
50.0	-0.03766
51.0	-0.03743
52.0	-0.03725
53.0	-0.03701
54.0	-0.03645
55.0	-0.03611
56.0	-0.03573
57.0	-0.03534
58.0	-0.03530
59.0	-0.03529
60.0	-0.03514
61.0	-0.03499
62.0	-0.03487
63.0	-0.03459
64.0	-0.03420
65.0	-0.03378
66.0	-0.03344
67.0	-0.03334
68.0	-0.03320
69.0	-0.03297
70.0	-0.03276
71.0	-0.03262
72.0	-0.03241
73.0	-0.03208
74.0	-0.03183
75.0	-0.03177
76.0	-0.03149
77.0	-0.03125
78.0	-0.03101
79.0	-0.03083
80.0	-0.03046
81.0	-0.03046
82.0	-0.03050
83.0	-0.03031
84.0	-0.02990
85.0	-0.02954
86.0	-0.02930
87.0	-0.02890
88.0	-0.02852
89.0	-0.02810
90.0	-0.02771
91.0	-0.02760
92.0	-0.02744
93.0	-0.02732
94.0	-0.02707
95.0	-0.02681
96.0	-0.02651
97.0	-0.02617
98.0	-0.02588
99.0	-0.02566
100.0	-0.02568
101.0	-0.02557
102.0	-0.02549
103.0	-0.02554
104.0	-0.02566
105.0	-0.02570
106.0	-0.02570
107.0	-0.02581
108.0	-0.02592
109.0	-0.02599
110.0	-0.02581
111.0	-0.02579
112.0	-0.02581
113.0	-0.02570
114.0	-0.02571
115.0	-0.02580
116.0	-0.02590
117.0	-0.02598
118.0	-0.02631
119.0	-0.02660
120.0	-0.02680
121.0	-0.02684
122.0	-0.02677
123.0	-0.02650
124.0	-0.02640
125.0	-0.02630
126.0	-0.02626
127.0	-0.02620
128.0	-0.02614
129.0	-0.02629
130.0	-0.02655
131.0	-0.02673
132.0	-0.02688
133.0	-0.02706
